City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Arkhara,RU,2021-06-25 22:36:17,49.4212,130.0842,71.2,63,7,5.37
233,Oktyabrskiy,RU,2021-06-25 22:36:17,54.4815,53.471,69.51,91,100,4.21
234,Celestun,MX,2021-06-25 22:36:18,20.8667,-90.4,84.29,67,100,17.74
235,Banyo,CM,2021-06-25 22:31:42,6.75,11.8167,65.01,94,53,2.77
236,Keningau,MY,2021-06-25 22:36:19,5.3378,116.1602,73.85,97,42,1.41
237,Te Anau,NZ,2021-06-25 22:36:19,-45.4167,167.7167,50.4,90,41,0.56
238,Amazar,RU,2021-06-25 22:36:20,53.858,120.875,67.48,80,43,2.15
239,Greenwood,US,2021-06-25 22:31:31,34.1668,-82.1165,85.98,49,1,3.44
240,Vozhega,RU,2021-06-25 22:36:21,60.4725,40.2213,63.66,86,37,4.45
241,Hokitika,NZ,2021-06-25 22:36:21,-42.7167,170.9667,58.15,96,100,7.02
242,Hohhot,CN,2021-06-25 22:31:43,40.8106,111.6522,59.29,72,0,6.71
243,Broome,US,2021-06-25 22:36:22,42.2506,-75.833,79.38,57,1,3.0
244,Pringsewu,ID,2021-06-25 22:36:24,-5.3582,104.9744,72.43,96,61,1.48
245,Nome,US,2021-06-25 22:36:24,64.5011,-165.4064,56.16,76,90,19.57
246,Mayumba,GA,2021-06-25 22:36:25,-3.432,10.6554,73.6,90,96,5.79
247,Praia,CV,2021-06-25 22:36:25,14.9215,-23.5087,73.94,83,0,16.11
248,Lompoc,US,2021-06-25 22:36:26,34.6391,-120.4579,81.01,72,75,16.11
249,Bathsheba,BB,2021-06-25 22:36:26,13.2167,-59.5167,81.21,69,75,23.02
250,Mahebourg,MU,2021-06-25 22:36:27,-20.4081,57.7,68.29,94,75,11.5
251,Chokurdakh,RU,2021-06-25 22:36:29,70.6333,147.9167,77.11,27,99,18.5
252,Shahreza,IR,2021-06-25 22:36:30,32.0339,51.8794,68.13,15,0,2.24
253,Veshenskaya,RU,2021-06-25 22:36:30,49.6303,41.7334,75.79,59,86,9.6
254,Boshnyakovo,RU,2021-06-25 22:36:31,49.6333,142.1667,53.29,98,100,3.76
255,Dalvik,IS,2021-06-25 22:36:32,65.9702,-18.5286,57.13,68,30,17.63
256,Narsaq,GL,2021-06-25 22:36:32,60.9167,-46.05,53.82,68,90,3.22
257,Half Moon Bay,US,2021-06-25 22:33:56,37.4636,-122.4286,88.9,68,90,1.99
258,Ayan,RU,2021-06-25 22:36:33,56.45,138.1667,52.92,73,0,8.34
259,Rio Grande,BR,2021-06-25 22:31:59,-32.035,-52.0986,51.94,71,19,6.46
260,Tiznit,MA,2021-06-25 22:36:34,29.5833,-9.5,64.89,75,0,0.81
261,Nizhneudinsk,RU,2021-06-25 22:36:34,54.9076,99.0276,50.7,95,100,5.1
262,Gillette,US,2021-06-25 22:36:35,44.2911,-105.5022,69.06,55,90,6.91
263,Fernandopolis,BR,2021-06-25 22:36:17,-20.2839,-50.2464,73.56,35,17,3.24
264,Bubaque,GW,2021-06-25 22:36:36,11.2833,-15.8333,80.28,82,100,14.72
265,Kpandu,GH,2021-06-25 22:36:36,6.9954,0.2931,76.84,85,82,5.01
266,San Mateo Ixtatan,GT,2021-06-25 22:36:37,15.8319,-91.4781,54.73,91,89,3.85
267,Pisco,PE,2021-06-25 22:36:38,-13.7,-76.2167,66.25,68,0,8.05
268,Maloy,NO,2021-06-25 22:36:38,61.9353,5.1136,56.93,89,77,20.18
269,Barra Patuca,HN,2021-06-25 22:36:39,15.8,-84.2833,82.26,72,100,9.22
270,Mahibadhoo,MV,2021-06-25 22:36:41,3.7833,72.9667,82.94,74,100,14.41
271,Hambantota,LK,2021-06-25 22:36:41,6.1241,81.1185,79.83,79,74,16.11
272,Camacha,PT,2021-06-25 22:36:42,33.0833,-16.3333,64.53,68,75,6.91
273,San Patricio,US,2021-06-25 22:36:43,28.017,-97.5169,93.61,60,16,17.65
274,Vestmanna,FO,2021-06-25 22:36:44,62.1564,-7.1664,49.12,93,75,6.91
275,Lar,IN,2021-06-25 22:36:45,26.2039,83.9717,78.73,92,100,11.23
276,Klaksvik,FO,2021-06-25 22:36:45,62.2266,-6.589,50.92,79,93,10.89
277,Padang,ID,2021-06-25 22:36:46,-0.9492,100.3543,76.24,90,100,3.42
278,Saint-Augustin,CA,2021-06-25 22:36:46,51.226,-58.6502,59.0,65,99,19.82
279,Rocha,UY,2021-06-25 22:36:47,-34.4833,-54.3333,49.78,83,86,3.83
280,Cayeli,TR,2021-06-25 22:36:48,41.0923,40.7292,70.16,88,6,4.32
281,Guerrero Negro,MX,2021-06-25 22:36:48,27.9769,-114.0611,72.34,65,3,21.32
282,Natchitoches,US,2021-06-25 22:36:49,31.7668,-93.1335,93.88,66,40,12.66
283,Airai,TL,2021-06-25 22:36:50,-8.9266,125.4092,61.36,90,47,3.38
284,Paracuru,BR,2021-06-25 22:36:50,-3.41,-39.0306,81.1,78,7,11.54
285,Sorso,IT,2021-06-25 22:36:51,40.8,8.5772,61.29,79,34,1.54
286,Carballo,ES,2021-06-25 22:36:52,43.213,-8.691,65.62,92,15,4.34
287,Tondano,ID,2021-06-25 22:36:52,1.3038,124.9112,68.09,82,66,0.47
288,Torbay,CA,2021-06-25 22:35:29,47.6666,-52.7314,72.37,52,20,13.8
289,Hasaki,JP,2021-06-25 22:36:53,35.7333,140.8333,77.18,78,71,6.62
290,Yen Bai,VN,2021-06-25 22:36:54,21.7,104.8667,77.99,90,86,0.54
291,Geraldton,AU,2021-06-25 22:36:54,-28.7667,114.6,45.01,81,62,13.8
292,Steinbach,DE,2021-06-25 22:36:55,50.1667,8.5667,61.99,90,0,3.44
293,Kulhudhuffushi,MV,2021-06-25 22:36:56,6.6221,73.07,82.0,77,82,14.56
294,Calama,CL,2021-06-25 22:36:56,-22.4667,-68.9333,59.49,13,0,16.11
