City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
244,Ludvika,60.1496,15.1878,67.8,73,86,0.96,SE,overcast clouds
245,Sistranda,63.7256,8.834,54.9,82,41,14.65,NO,scattered clouds
246,Sao Filipe,14.8961,-24.4956,75.99,81,34,8.28,CV,scattered clouds
247,Arraial Do Cabo,-22.9661,-42.0278,80.56,57,0,16.11,BR,clear sky
248,Vardo,70.3705,31.1107,57.4,82,0,9.22,NO,clear sky
249,Boden,65.8252,21.6886,68.0,44,40,8.28,SE,scattered clouds
250,San Cristobal,7.7669,-72.225,78.98,70,55,6.69,VE,broken clouds
251,Rocha,-34.4833,-54.3333,49.71,76,50,15.9,UY,scattered clouds
252,Carbonia,39.1672,8.5222,86.95,61,1,4.45,IT,clear sky
253,Mahebourg,-20.4081,57.7,73.26,77,2,15.84,MU,clear sky
254,Kenai,60.5544,-151.2583,56.08,78,90,0.0,US,overcast clouds
255,Iquique,-20.2208,-70.1431,62.64,65,99,7.52,CL,overcast clouds
256,Rundu,-17.9333,19.7667,64.31,20,2,3.6,NA,clear sky
257,Los Cordobas,8.894,-76.3546,82.38,73,95,4.27,CO,overcast clouds
258,Naryan-Mar,67.6713,53.087,50.92,62,96,7.92,RU,overcast clouds
259,Kundiawa,-6.0167,144.9667,59.95,97,57,2.1,PG,broken clouds
260,Zambezi,-13.5432,23.1047,63.03,30,90,3.36,ZM,overcast clouds
261,Japura,-0.3167,102.35,75.0,93,99,1.97,ID,overcast clouds
262,Datong,40.0936,113.2914,74.71,37,34,4.47,CN,scattered clouds
263,Plouzane,48.3833,-4.6167,68.02,83,75,4.61,FR,broken clouds
264,Norman Wells,65.282,-126.8329,68.04,68,75,14.97,CA,broken clouds
265,Chicama,-7.8447,-79.1469,66.74,61,40,10.25,PE,scattered clouds
266,Polson,47.6936,-114.1632,84.78,48,4,1.9,US,clear sky
267,Okhotsk,59.3833,143.3,48.9,93,18,5.06,RU,few clouds
268,San Marco In Lamis,41.7131,15.6399,74.32,36,0,2.86,IT,clear sky
269,Mangrol,21.1167,70.1167,85.05,70,61,12.75,IN,broken clouds
270,Abu Dhabi,24.4667,54.3667,104.11,28,0,3.44,AE,clear sky
271,Makinsk,52.6292,70.4169,65.79,61,84,6.76,KZ,broken clouds
272,Iqaluit,63.7506,-68.5145,34.7,100,100,3.0,CA,overcast clouds
273,Chifeng,42.2683,118.9636,69.17,65,28,3.47,CN,scattered clouds
274,Meulaboh,4.1363,96.1285,76.73,88,95,3.96,ID,overcast clouds
275,Xuddur,4.1213,43.8894,78.6,51,100,14.23,SO,overcast clouds
276,Nagorsk,59.3172,50.8078,63.82,96,93,2.98,RU,light rain
277,Klyuchi,52.2667,79.1667,63.88,50,95,9.42,RU,overcast clouds
278,Navrongo,10.8956,-1.0921,90.93,43,26,5.1,GH,scattered clouds
279,Ewa Beach,21.3156,-158.0072,80.55,66,1,4.0,US,clear sky
280,Leh,34.1667,77.5833,59.23,26,6,4.72,IN,clear sky
281,Nigran,42.1415,-8.8066,66.49,64,40,3.0,ES,scattered clouds
282,Marsh Harbour,26.5412,-77.0636,82.15,68,4,14.81,BS,clear sky
283,Kirakira,-10.4544,161.9205,77.56,82,94,10.63,SB,overcast clouds
284,Voyvozh,62.892,54.9635,63.41,64,66,4.36,RU,broken clouds
285,Horta,38.5333,-28.6333,69.44,88,20,4.61,PT,few clouds
286,Semey,50.4111,80.2275,63.28,50,65,9.91,KZ,broken clouds
287,Ahipara,-35.1667,173.1667,59.0,87,99,11.95,NZ,overcast clouds
288,Buribay,51.9617,58.1592,76.68,58,70,6.49,RU,broken clouds
289,Synya,65.3718,58.0387,52.84,60,48,5.14,RU,scattered clouds
290,Shouguang,36.88,118.7375,72.5,84,0,4.94,CN,clear sky
291,Leningradskiy,69.3833,178.4167,43.61,76,85,2.91,RU,overcast clouds
292,Treinta Y Tres,-33.2333,-54.3833,49.08,70,95,17.69,UY,overcast clouds
293,Mikhaylovka,50.06,43.2379,79.75,52,70,9.57,RU,broken clouds
294,Hofn,64.2539,-15.2082,51.98,66,93,6.58,IS,overcast clouds
295,Nemuro,43.3236,145.575,53.2,99,100,3.38,JP,overcast clouds
296,Bengkulu,-3.8004,102.2655,74.7,93,94,5.08,ID,overcast clouds
297,Katherine,-14.4667,132.2667,59.32,58,30,6.91,AU,scattered clouds
298,Bar Harbor,44.3876,-68.2039,86.49,77,96,21.0,US,overcast clouds
299,Elat,29.5581,34.9482,100.24,20,0,16.11,IL,clear sky
300,Totma,59.9747,42.7642,71.56,83,68,1.59,RU,broken clouds
301,Ozernovskiy,51.5,156.5167,42.71,95,91,2.28,RU,overcast clouds
302,Whitehorse,60.7161,-135.0538,74.1,42,10,1.68,CA,clear sky
303,Tezu,27.9167,96.1667,75.51,98,100,2.39,IN,moderate rain
304,Tautira,-17.7333,-149.15,78.82,79,53,8.43,PF,broken clouds
305,Kinkala,-4.3614,14.7644,75.87,66,27,4.81,CG,scattered clouds
306,Maues,-3.3836,-57.7186,90.05,47,52,3.04,BR,broken clouds
307,Ukholovo,53.7929,40.4892,79.25,81,9,8.19,RU,clear sky
308,Baykit,61.67,96.37,47.52,86,82,1.54,RU,broken clouds
309,Tokur,53.1333,132.9,51.87,96,81,1.32,RU,broken clouds
310,Tambovka,50.0969,128.0489,64.51,89,53,6.85,RU,broken clouds
311,Warrnambool,-38.3833,142.4833,41.81,87,0,7.36,AU,clear sky
312,Muisne,0.6,-80.0333,82.51,77,74,8.25,EC,broken clouds
313,Wenling,28.3669,121.36,77.92,97,100,1.86,CN,light rain
314,Miles City,46.4083,-105.8406,85.17,28,40,19.57,US,scattered clouds
315,Husavik,66.0449,-17.3389,52.38,69,98,6.11,IS,overcast clouds
316,Yerbogachen,61.2767,108.0108,50.05,86,70,6.2,RU,broken clouds
317,Kimbe,-5.5502,150.1429,73.94,91,95,4.14,PG,overcast clouds
318,Puerto Quijarro,-17.7833,-57.7667,76.28,53,39,8.81,BO,scattered clouds
319,Tomatlan,19.9333,-105.25,75.25,87,100,4.61,MX,overcast clouds
320,Abu Samrah,35.3029,37.1841,88.23,30,0,9.82,SY,clear sky
321,Yumen,40.2833,97.2,74.21,26,32,5.28,CN,scattered clouds
322,Birao,10.2849,22.7882,75.06,75,98,10.98,CF,light rain
323,Mabay,6.0577,124.4666,76.14,82,100,4.5,PH,overcast clouds
324,Atambua,-9.1061,124.8925,70.43,88,49,5.84,ID,scattered clouds
325,Darhan,49.4867,105.9228,59.36,88,64,5.84,MN,broken clouds
326,Sao Jose Do Calcado,-21.0253,-41.6544,76.93,46,15,4.03,BR,few clouds
327,Ust-Nera,64.5667,143.2,68.68,45,89,1.3,RU,overcast clouds
328,Bemidji,47.4736,-94.8803,80.19,43,1,5.75,US,clear sky
329,Taft,31.7471,54.2088,85.95,9,20,4.61,IR,few clouds
330,Khromtau,50.2503,58.4347,78.15,44,65,8.43,KZ,broken clouds
331,Maragogi,-9.0122,-35.2225,77.16,70,88,13.18,BR,overcast clouds
332,Segezha,63.7415,34.3222,63.0,82,99,5.79,RU,overcast clouds
333,Saint-Pierre,-21.3393,55.4781,73.04,79,90,4.61,RE,overcast clouds
334,Pangnirtung,66.1451,-65.7125,41.0,87,75,12.66,CA,broken clouds
335,Teacapan,22.55,-105.75,88.39,63,67,11.77,MX,broken clouds
336,Oistins,13.0667,-59.5333,86.09,58,75,21.85,BB,broken clouds
337,Chokurdakh,70.6333,147.9167,43.72,71,59,10.31,RU,broken clouds
338,Cordoba,-31.4135,-64.1811,57.42,22,0,10.0,AR,clear sky
339,Smithers,54.7804,-127.1743,80.92,50,1,3.44,CA,clear sky
340,Launceston,-41.45,147.1667,37.15,94,75,1.01,AU,fog
341,Purranque,-40.9167,-73.1667,46.06,68,43,3.18,CL,scattered clouds
342,Hamilton,39.1834,-84.5333,90.0,63,40,1.01,US,scattered clouds
343,Mana,5.6592,-53.7767,83.17,70,22,7.83,GF,few clouds
344,Rjukan,59.8789,8.5941,72.7,50,65,4.36,NO,broken clouds
345,Vanino,49.0869,140.2543,48.96,98,100,0.51,RU,overcast clouds
346,Villazon,-22.0866,-65.5942,52.18,6,69,21.99,BO,broken clouds
